"Crash.ID","State","Month","Year","Crash.Type","Number.Fatalities","Bus.Involvement","Heavy.Rigid.Truck.Involvement","Articulated.Truck.Involvement","Speed.Limit","National.LGA.Name.2017","Christmas.Period","Easter.Period","Time.of.day"
20203056,"Qld",10,2020,"Multiple",1,"No","No","No","100","Whitsunday (R)","No","No","Day"
20203031,"Qld",10,2020,"Multiple",1,"No","No","No","100","Gympie (R)","No","No","Day"
20206024,"Tas",10,2020,"Multiple",3,"No","No","No","110","Northern Midlands (M)","No","No","Day"
20202017,"Vic",10,2020,"Single",1,"No","No","No","100","Indigo (S)","No","No","Day"
20202180,"Vic",10,2020,"Single",1,"No","No","No","100","Wodonga (C)","No","No","Day"
20204022,"SA",10,2020,"Single",1,"No","No","No","80","Mount Barker (DC)","No","No","Day"
20203228,"Qld",10,2020,"Multiple",1,"No","No","No","80","Sunshine Coast (R)","No","No","Day"
20203014,"Qld",10,2020,"Single",1,"No","No","Yes","100","Mackay (R)","No","No","Day"
20202024,"Vic",10,2020,"Multiple",1,"No","No","No","60","Hobsons Bay (C)","No","No","Day"
20203091,"Qld",10,2020,"Multiple",1,"No","Yes","No","80","Townsville (C)","No","No","Day"
20202005,"Vic",10,2020,"Single",1,"No","No","No","60","Swan Hill (RC)","No","No","Night"
20207026,"NT",10,2020,"Single",1,"No","No","No","70","Darwin (C)","No","No","Night"
20203077,"Qld",10,2020,"Single",1,"No","No","No","70","Brisbane (C)","No","No","Night"
20201270,"NSW",10,2020,"Multiple",1,"No","No","No","60","Fairfield","No","No","Day"
20203189,"Qld",10,2020,"Single",1,"No","No","Yes","110","Gympie (R)","No","No","Night"
20204040,"SA",10,2020,"Single",1,"No","No","No","50","Onkaparinga (C)","No","No","Day"
20202066,"Vic",10,2020,"Single",1,"No","No","No","50","Hume (C)","No","No","Day"
20201118,"NSW",10,2020,"Single",1,"No","Yes","No","110","Cootamundra-Gundagai","No","No","Night"
20202094,"Vic",10,2020,"Multiple",1,"No","No","No","40","Melbourne (C)","No","No","Night"
20201136,"NSW",10,2020,"Single",1,"No","No","No","50","Bayside","No","No","Day"
20202096,"Vic",10,2020,"Single",1,"No","No","No","110","Pyrenees (S)","No","No","Day"
20203125,"Qld",10,2020,"Single",1,"No","No","No","60","Sunshine Coast (R)","No","No","Night"
20201079,"NSW",10,2020,"Multiple",1,"No","No","No","100","Narrabri","No","No","Day"
20201101,"NSW",9,2020,"Single",1,"No","No","No","50","Walgett","No","No","Night"
20205006,"WA",9,2020,"Single",1,"No","No","No","80",NA,"No","No","Day"
20203134,"Qld",9,2020,"Multiple",2,"No","No","No","60","Yarrabah (S)","No","No","Night"
20203245,"Qld",9,2020,"Multiple",1,"No","No","No","100","Townsville (C)","No","No","Day"
20202072,"Vic",9,2020,"Single",1,"No","No","No","60","Boroondara (C)","No","No","Day"
20203082,"Qld",9,2020,"Multiple",1,"No","No","Yes","100","Fraser Coast (R)","No","No","Night"
