"Crash.ID","State","Month","Year","Crash.Type","Bus.Involvement","Heavy.Rigid.Truck.Involvement","Articulated.Truck.Involvement","Speed.Limit","Road.User","Gender","Age","National.LGA.Name.2017","Christmas.Period","Easter.Period","Age.Group","Time.of.day"
20204015,"SA",11,2020,"Multiple","No","No","No","100","Driver","Female",18,"Victor Harbor (C)","No","No","17_to_25","Day"
20203093,"Qld",11,2020,"Multiple","No","No","No","80","Motorcycle rider","Male",26,"Gold Coast (C)","No","No","26_to_39","Day"
20205102,"WA",11,2020,"Single","No","No","No","110","Driver","Male",40,NA,"No","No","40_to_64","Day"
20202025,"Vic",11,2020,"Multiple","No","No","No","100","Pedal cyclist","Male",47,"Buloke (S)","No","No","40_to_64","Day"
20201011,"NSW",11,2020,"Single","No","No","No","60","Motorcycle rider","Male",23,"Canterbury-Bankstown","No","No","17_to_25","Day"
20205087,"WA",11,2020,"Multiple","No","No","Yes","110","Passenger","Female",51,NA,"No","No","40_to_64","Day"
20201040,"NSW",11,2020,"Single","No","No","No","100","Motorcycle rider","Male",40,"Goulburn Mulwaree","No","No","40_to_64","Day"
20203035,"Qld",11,2020,"Multiple","No","No","Yes","100","Driver","Male",44,"Banana (S)","No","No","40_to_64","Day"
20201260,"NSW",11,2020,"Multiple","No","No","Yes","100","Driver","Female",28,"Dubbo Regional","No","No","26_to_39","Day"
20201217,"NSW",11,2020,"Multiple","No","No","No","80","Pedal cyclist","Male",52,"Wollongong","No","No","40_to_64","Day"
20203070,"Qld",11,2020,"Multiple","No","No","Yes","100","Driver","Male",23,"Mackay (R)","No","No","17_to_25","Night"
20203120,"Qld",11,2020,"Multiple","No","No","No","80","Driver","Male",34,"Moreton Bay (R)","No","No","26_to_39","Day"
20203247,"Qld",11,2020,"Multiple","No","No","No","100","Motorcycle rider","Male",28,"Bundaberg (R)","No","No","26_to_39","Day"
20205073,"WA",11,2020,"Single","No","No","No","110","Motorcycle rider","Male",48,NA,"No","No","40_to_64","Day"
20202113,"Vic",10,2020,"Multiple","No","No","No","60","Driver","Male",25,"Port Phillip (C)","No","No","17_to_25","Night"
20206009,"Tas",10,2020,"Multiple","No","No","No","100","Passenger","Female",52,"Sorell (M)","No","No","40_to_64","Day"
20201273,"NSW",10,2020,"Multiple","No","No","No","80","Driver","Female",29,"Central Coast","No","No","26_to_39","Night"
20202180,"Vic",10,2020,"Single","No","No","No","100","Driver","Male",52,"Wodonga (C)","No","No","40_to_64","Day"
20203125,"Qld",10,2020,"Single","No","No","No","60","Driver","Male",29,"Sunshine Coast (R)","No","No","26_to_39","Night"
20202034,"Vic",10,2020,"Multiple","No","No","Yes","100","Driver","Female",33,"South Gippsland (S)","No","No","26_to_39","Day"
20203217,"Qld",10,2020,"Single","No","No","No","100","Driver","Female",39,"Fraser Coast (R)","No","No","26_to_39","Night"
20201099,"NSW",10,2020,"Single","No","No","No","100","Driver","Male",17,"Richmond Valley","No","No","17_to_25","Day"
20203106,"Qld",10,2020,"Multiple","No","No","No","110","Driver","Male",28,"Gympie (R)","No","No","26_to_39","Night"
20207023,"NT",10,2020,"Multiple","No","No","No","80","Driver","Female",24,"Litchfield (M)","No","No","17_to_25","Day"
20201063,"NSW",10,2020,"Multiple","No","No","No","100","Driver","Male",25,"Wollondilly","No","No","17_to_25","Night"
